title,slug,category,description,keywords
Gramática introdutória e estrutura sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-segunda,Fundamentos,"Gramática introdutória e estrutura com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Vocabulário aplicado sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-terca,Fundamentos,"Vocabulário aplicado com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Frases simples com exemplos sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-quarta,Fundamentos,"Frases simples com exemplos com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Dicas práticas de estudo sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-quinta,Fundamentos,"Dicas práticas de estudo com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Aplicações e usos reais sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-sexta,Fundamentos,"Aplicações e usos reais com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Erros comuns e correções sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-sabado,Fundamentos,"Erros comuns e correções com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Revisão e desafio final sobre alfabeto e pronúncia básica,alfabeto-e-pronuncia-basica-domingo,Fundamentos,"Revisão e desafio final com base no tema 'Alfabeto e pronúncia básica', parte do plano de estudos de inglês para iniciantes.","alfabeto e pronúncia básica, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Gramática introdutória e estrutura sobre números e expressões com números,numeros-e-expressoes-com-numeros-segunda,Fundamentos,"Gramática introdutória e estrutura com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Vocabulário aplicado sobre números e expressões com números,numeros-e-expressoes-com-numeros-terca,Fundamentos,"Vocabulário aplicado com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Frases simples com exemplos sobre números e expressões com números,numeros-e-expressoes-com-numeros-quarta,Fundamentos,"Frases simples com exemplos com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Dicas práticas de estudo sobre números e expressões com números,numeros-e-expressoes-com-numeros-quinta,Fundamentos,"Dicas práticas de estudo com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Aplicações e usos reais sobre números e expressões com números,numeros-e-expressoes-com-numeros-sexta,Fundamentos,"Aplicações e usos reais com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Erros comuns e correções sobre números e expressões com números,numeros-e-expressoes-com-numeros-sabado,Fundamentos,"Erros comuns e correções com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Revisão e desafio final sobre números e expressões com números,numeros-e-expressoes-com-numeros-domingo,Fundamentos,"Revisão e desafio final com base no tema 'Números e expressões com números', parte do plano de estudos de inglês para iniciantes.","números e expressões com números, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Gramática introdutória e estrutura sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-segunda,Fundamentos,"Gramática introdutória e estrutura com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Vocabulário aplicado sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-terca,Fundamentos,"Vocabulário aplicado com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Frases simples com exemplos sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-quarta,Fundamentos,"Frases simples com exemplos com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Dicas práticas de estudo sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-quinta,Fundamentos,"Dicas práticas de estudo com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Aplicações e usos reais sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-sexta,Fundamentos,"Aplicações e usos reais com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Erros comuns e correções sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-sabado,Fundamentos,"Erros comuns e correções com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Revisão e desafio final sobre cores e adjetivos básicos,cores-e-adjetivos-basicos-domingo,Fundamentos,"Revisão e desafio final com base no tema 'Cores e adjetivos básicos', parte do plano de estudos de inglês para iniciantes.","cores e adjetivos básicos, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Gramática introdutória e estrutura sobre saudações e apresentações pessoais,saudacoes-e-apresentacoes-pessoais-segunda,Fundamentos,"Gramática introdutória e estrutura com base no tema 'Saudações e apresentações pessoais', parte do plano de estudos de inglês para iniciantes.","saudações e apresentações pessoais, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Vocabulário aplicado sobre saudações e apresentações pessoais,saudacoes-e-apresentacoes-pessoais-terca,Fundamentos,"Vocabulário aplicado com base no tema 'Saudações e apresentações pessoais', parte do plano de estudos de inglês para iniciantes.","saudações e apresentações pessoais, inglês básico, aprender inglês, estudo de inglês, vocabulário"
Frases simples com exemplos sobre saudações e apresentações pessoais,saudacoes-e-apresentacoes-pessoais-quarta,Fundamentos,"Frases simples com exemplos com base no tema 'Saudações e apresentações pessoais', parte do plano de estudos de inglês para iniciantes.","saudações e apresentações pessoais, inglês básico, aprender inglês, estudo de inglês, vocabulário"
